2025-07-10 17:37:07,959 INFO: 
------------------------ neosr ------------------------
Pytorch Version: 2.5.1+cu124. Running on gpu NVIDIA L4, with driver 535.247.01.
2025-07-10 17:37:09,050 INFO: Dataset [paired] is built.
2025-07-10 17:37:09,050 INFO: Training informations:
-------- Starting model: train_plksr_tiny_4x
-------- GPUs detected: 1
-------- Patch size: 32
-------- Dataset size: 1365
-------- Batch size per gpu: 4
-------- Accumulated batches: 4
-------- Required iters per epoch: 342
-------- Total epochs 1316 for total iters 450000.
2025-07-10 17:37:09,138 INFO: Dataset [paired] is built.
2025-07-10 17:37:09,138 INFO: Number of val images/folders: 162
2025-07-10 17:37:09,412 INFO: Using network [plksr].
2025-07-10 17:37:09,584 INFO: Using network [metagan].
2025-07-10 17:37:09,635 INFO: Loading plksr model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_g_75000.pth, with param key: [params].
2025-07-10 17:37:09,874 INFO: Loading metagan model from /teamspace/studios/this_studio/neosr/experiments/train_plksr_tiny_4x/models/net_d_75000.pth, with param key: [params].
2025-07-10 17:37:10,036 INFO: Using exponential-moving average.
2025-07-10 17:37:10,284 INFO: Loss [mssim_loss] enabled.
2025-07-10 17:37:10,284 INFO: Loss [gan_loss] enabled.
2025-07-10 17:37:10,285 INFO: Loss [wavelet-guided] enabled.
2025-07-10 17:37:10,285 INFO: Using model [image].
2025-07-10 17:37:10,442 INFO: [1;32mResuming training from epoch: 218, iter: 75000[0m
2025-07-10 17:37:19,828 INFO: AMP enabled with BF16.
2025-07-10 17:37:19,829 INFO: [1;32mStart training from epoch: 218, iter: 75000[0m
2025-07-10 17:39:15,625 INFO: [ epoch: 218 ] [ iter: 75,100 ] [ performance: 0.864 it/s ] [ lr: 1.00e-05 ] [ eta: 5 days, 11:40:41 ] [ l_g_mssim: 4.1111e-04 ] [ l_g_gan: 3.2356e+00 ] [ l_g_total: 3.2360e+00 ] [ l_d_real: 1.2711e-06 ] [ out_d_real: 1.4125e+01 ] [ l_d_fake: 2.2173e-05 ] [ out_d_fake: -1.0812e+01 ] [ l_d_total: 1.1722e-05 ] 
2025-07-10 17:39:57,003 INFO: [ epoch: 218 ] [ iter: 75,200 ] [ performance: 1.273 it/s ] [ lr: 1.00e-05 ] [ eta: 3 days, 15:08:19 ] [ l_g_mssim: 1.5455e-03 ] [ l_g_gan: 4.3477e+00 ] [ l_g_total: 4.3492e+00 ] [ l_d_real: 1.0651e-07 ] [ out_d_real: 1.6750e+01 ] [ l_d_fake: 4.7684e-07 ] [ out_d_fake: -1.4500e+01 ] [ l_d_total: 2.9167e-07 ] 
2025-07-10 17:40:39,703 INFO: [ epoch: 218 ] [ iter: 75,300 ] [ performance: 2.333 it/s ] [ lr: 1.00e-05 ] [ eta: 3 days, 0:50:37 ] [ l_g_mssim: 7.4573e-04 ] [ l_g_gan: 5.0672e+00 ] [ l_g_total: 5.0679e+00 ] [ l_d_real: 9.0362e-05 ] [ out_d_real: 1.5875e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -1.6875e+01 ] [ l_d_total: 4.5181e-05 ] 
2025-07-10 17:41:29,379 INFO: [ epoch: 219 ] [ iter: 75,400 ] [ performance: 2.160 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 19:31:40 ] [ l_g_mssim: 7.4939e-04 ] [ l_g_gan: 3.9633e+00 ] [ l_g_total: 3.9640e+00 ] [ l_d_real: 3.0562e-08 ] [ out_d_real: 1.8000e+01 ] [ l_d_fake: 2.0266e-06 ] [ out_d_fake: -1.3188e+01 ] [ l_d_total: 1.0286e-06 ] 
2025-07-10 17:42:11,262 INFO: [ epoch: 219 ] [ iter: 75,500 ] [ performance: 2.368 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 14:42:43 ] [ l_g_mssim: 1.2207e-03 ] [ l_g_gan: 3.8648e+00 ] [ l_g_total: 3.8661e+00 ] [ l_d_real: 2.6798e-08 ] [ out_d_real: 1.7750e+01 ] [ l_d_fake: 3.6359e-06 ] [ out_d_fake: -1.2875e+01 ] [ l_d_total: 1.8313e-06 ] 
2025-07-10 17:42:53,887 INFO: [ epoch: 219 ] [ iter: 75,600 ] [ performance: 2.357 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 11:37:45 ] [ l_g_mssim: 7.3525e-04 ] [ l_g_gan: 4.7051e+00 ] [ l_g_total: 4.7058e+00 ] [ l_d_real: 4.3370e-06 ] [ out_d_real: 1.2562e+01 ] [ l_d_fake: 1.1921e-07 ] [ out_d_fake: -1.5688e+01 ] [ l_d_total: 2.2281e-06 ] 
2025-07-10 17:43:42,266 INFO: [ epoch: 220 ] [ iter: 75,700 ] [ performance: 2.039 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 10:16:52 ] [ l_g_mssim: 1.2447e-03 ] [ l_g_gan: 4.9652e+00 ] [ l_g_total: 4.9665e+00 ] [ l_d_real: 3.1251e-06 ] [ out_d_real: 1.3125e+01 ] [ l_d_fake: 1.1563e-05 ] [ out_d_fake: -1.6500e+01 ] [ l_d_total: 7.3442e-06 ] 
2025-07-10 17:44:22,236 INFO: [ epoch: 220 ] [ iter: 75,800 ] [ performance: 2.250 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 8:10:23 ] [ l_g_mssim: 6.3766e-04 ] [ l_g_gan: 5.7891e+00 ] [ l_g_total: 5.7897e+00 ] [ l_d_real: 4.6601e-07 ] [ out_d_real: 1.4750e+01 ] [ l_d_fake: 0.0000e+00 ] [ out_d_fake: -1.9250e+01 ] [ l_d_total: 2.3301e-07 ] 
2025-07-10 17:45:08,558 INFO: [ epoch: 220 ] [ iter: 75,900 ] [ performance: 2.129 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 7:15:56 ] [ l_g_mssim: 1.8447e-03 ] [ l_g_gan: 4.3313e+00 ] [ l_g_total: 4.3331e+00 ] [ l_d_real: 8.5270e-06 ] [ out_d_real: 1.2500e+01 ] [ l_d_fake: 5.9605e-07 ] [ out_d_fake: -1.4438e+01 ] [ l_d_total: 4.5615e-06 ] 
2025-07-10 17:45:44,951 INFO: [ epoch: 220 ] [ iter: 76,000 ] [ performance: 2.405 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 5:30:17 ] [ l_g_mssim: 1.2648e-03 ] [ l_g_gan: 4.9992e+00 ] [ l_g_total: 5.0005e+00 ] [ l_d_real: 1.1188e-06 ] [ out_d_real: 1.4000e+01 ] [ l_d_fake: 5.9605e-08 ] [ out_d_fake: -1.6625e+01 ] [ l_d_total: 5.8919e-07 ] 
2025-07-10 17:46:31,223 INFO: [ epoch: 221 ] [ iter: 76,100 ] [ performance: 2.216 it/s ] [ lr: 1.00e-05 ] [ eta: 2 days, 4:59:46 ] [ l_g_mssim: 1.8330e-03 ] [ l_g_gan: 4.9137e+00 ] [ l_g_total: 4.9155e+00 ] [ l_d_real: 3.8553e-07 ] [ out_d_real: 1.5250e+01 ] [ l_d_fake: 1.1921e-07 ] [ out_d_fake: -1.6375e+01 ] [ l_d_total: 2.5237e-07 ] 
